,TIC ID,TOI,RA,Dec,RA_deg,Dec_deg,TFOPWG Disposition,Master Priority,SG1A Priority,SG1B Priority,SG2 Priority,SG3 Priority,SG4 Priority,SG5 Priority,Teff (TOI),Orbital Period (TOI),Orbital Period (TOI) Unc.,J mag,J mag Unc.,H mag,H mag Unc.,K mag,K mag Unc.,Stellar Companion Separation,Stellar Companion Delta mag,Stellar Companion Observation date,Spectra?,NIRC2?,Best imaging contrast
57658,302470965,3676.01,02:47:47.07,49:24:37.57,41.946124999999995,49.41043611111111,PC,3,4,3,3,2,4,4,4828.4,1.9341469,4.1e-06,12.396,0.025,11.979,0.029,11.907,0.023,0.222,0.267,2021-11-11,False,False,5.469
75721,259381479,7451.01,02:53:35.88,46:10:28.42,43.399499999999996,46.17456111111111,PC,3,4,3,3,4,4,4,9225.0,3.9461778,1.07e-05,10.771,0.023,10.658,0.032,10.627,0.02,0.28,1.0,2026-01-29,True,False,5.693
48026,408618999,1736.01,02:53:44.27,69:06:04.84,43.434458333333325,69.10134444444444,CP,1,5,5,1,4,4,4,5656.0,7.0731057,1.88e-05,7.688,0.02,7.416,0.047,7.283,0.023,0.093,2.43,2021-10-19,True,True,6.7
60725,439873430,4671.01,02:54:46.95,-04:51:46.81,43.69562499999999,-4.863002777777777,PC,3,4,3,3,4,4,4,5689.0,17.1470323,0.0001936,10.985,0.021,10.712,0.021,10.61,0.023,0.134,1.921,2023-08-05,True,True,6.82
73462,238751619,6292.01,02:56:21.49,43:05:31.97,44.08954166666666,43.09221388888889,PC,3,4,3,3,3,4,4,6202.0,0.8236066,3e-06,11.004,0.023,10.718,0.021,10.645,0.018,0.95,5.6,2023-08-31,True,False,6.6
36783,251384275,1565.01,02:58:52.86,58:44:06.88,44.72024999999999,58.73524444444445,PC,3,4,3,3,4,4,4,8494.0,1099.2560384903,0.006300348,8.727,0.029,8.634,0.017,8.552,0.019,0.233,0.8,2020-10-21,True,False,7.4
57479,149855074,3647.01,02:59:10.76,37:38:07.52,44.79483333333333,37.635422222222225,PC,3,4,3,3,3,4,4,,3.1116107,0.0014249,11.461,0.025,11.088,0.024,11.033,0.022,0.809,1.6,2024-11-12,True,False,4.9
56105,71345362,2691.01,03:00:27.74,-21:16:08.98,45.115583333333326,-21.26916111111111,PC,3,4,3,3,3,4,4,5283.0,3.8821916,4.02e-05,11.839,0.024,11.453,0.022,11.376,0.024,0.2555,0.1,2021-10-03,False,False,4.0
7142,98796344,455.01,03:01:50.99,-16:35:40.19,45.46245833333333,-16.59449722222222,CP,4,5,5,4,4,4,4,3562.0,5.3587759524822,7.548971e-06,7.294,0.024,6.774,0.038,6.496,0.021,1.0333,0.7,2019-08-12,True,False,7.5
74986,243208884,6964.01,03:03:26.56,17:48:29.82,45.86066666666666,17.808283333333335,PC,2,4,2,2,3,4,4,5432.25,4.7645837859734,0.000371338,9.381,0.024,9.033,0.027,8.911,0.021,1.378,6.97,2024-09-12,True,False,5.8
54528,23170835,2430.01,03:06:14.11,-09:48:36.18,46.558791666666664,-9.81005,PC,3,4,3,3,3,4,4,6409.0,1.10071,,9.684,0.028,9.42,0.027,9.329001,0.025,0.949,4.91,2025-02-15,True,False,6.9
58885,648958344,4073.01,03:06:15.88,70:12:52.89,46.56616666666666,70.21469166666667,PC,3,4,3,3,3,4,4,,2.3079651,6.63e-05,,,,,,,0.811,0.47,2021-10-29,True,False,
59659,85593751,4516.01,03:09:28.55,30:40:24.18,47.36895833333333,30.673383333333334,KP,5,5,5,5,5,5,5,4926.0,3.7224625949848,6.929837e-05,10.015,0.02,9.56,0.019,9.421,0.017,0.439,3.31,2023-02-05,False,False,
57610,467580267,3668.01,03:12:52.43,35:05:36.44,48.21845833333333,35.09345555555556,PC,3,5,5,3,4,4,4,5921.0,0.7415247,1.2e-06,10.567,0.021,10.283,0.028,10.218,0.023,0.395,4.1,2022-02-24,True,False,6.88
57670,385400633,3702.01,03:16:24.58,58:17:15.88,49.102416666666656,58.28774444444444,PC,3,4,3,3,3,4,4,4930.6,2.2842184,2.6e-06,11.435,0.024,10.986,0.028,10.851,0.023,0.222,0.7,2022-01-17,False,False,4.9
57475,192878624,3641.01,03:19:26.15,44:44:47.06,49.85895833333332,44.746405555555555,PC,3,4,3,3,3,4,4,5668.6,5.7361495,2.6e-05,12.605,0.024,12.319,0.015,12.232,0.024,0.451,3.11,2022-09-16,True,False,5.75
54537,274194927,2439.01,03:36:06.81,01:56:01.73,54.028375,1.933813888888889,PC,3,4,3,3,4,4,4,5283.0,14.361478873089,0.0037922522,10.515,0.024,10.178,0.026,10.084,0.021,0.127,1.11,2021-10-29,True,False,7.049
57590,65440953,3665.01,03:36:51.6,44:46:11.45,54.214999999999996,44.76984722222222,PC,1,4,1,1,4,4,4,4977.4,0.8746494,0.0004607,11.556,0.022,11.051,0.021,10.976,0.019,0.56,3.5,2022-02-18,False,False,6.33
57503,65446983,3662.01,03:37:37.35,46:50:34.33,54.40562499999999,46.842869444444446,PC,3,4,4,3,3,4,4,7934.0,9.9908116,0.0020103,10.241,0.02,10.132,0.017,10.08,0.018,0.366,1.0,2021-10-21,True,False,6.0
57463,200917197,3640.01,03:38:09.18,40:28:31.99,54.53824999999999,40.47555277777778,PC,3,4,3,3,3,4,4,8273.0,1.2205315,2.7e-06,11.762,0.023,11.667,0.023,11.641,0.02,0.726,3.2,2021-10-22,True,False,6.5
59673,435336785,4543.01,03:40:33.8,13:33:09.98,55.14083333333332,13.552772222222224,PC,3,4,3,3,4,4,4,4837.8,5.7740318,6.3e-05,5.668,0.029,5.104,0.024,4.981,0.021,0.3853,2.6,2021-11-21,True,False,7.8
