# This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Fri Jul 03 15:41:36 2026
# Search parameters: Dec min = -30; TFOPWG Disposition = CP/KP/PC; Stellar companion separation max = 1.5


TIC ID,TOI,RA,Dec,TFOPWG Disposition,Master Priority,SG1A Priority,SG1B Priority,SG2 Priority,SG3 Priority,SG4 Priority,SG5 Priority,TESS mag,J mag,H mag,K mag,Stellar Companion Filter Name,Stellar Companion Filter,Stellar Companion notes,Stellar Companion user,Stellar Companion Separation,Stellar Companion Separation Unc.,Stellar Companion Position angle,Stellar Companion Position angle Unc.,Stellar Companion Delta mag,Stellar Companion Delta mag Unc.,Stellar Companion Observation date,Stellar Companion Tag
47425697,364.01,22:49:01.48,-24:57:33.46,PC,2,5,5,5,4,2,4,10.4913,9.967,9.757,9.686,562,562 (54) nm,180 degree ambiguity in PA,furlan,0.372,,275.1,,0.5,,2021-10-20,107260
47425697,364.01,22:49:01.48,-24:57:33.46,PC,2,5,5,5,4,2,4,10.4913,9.967,9.757,9.686,832,832 (40) nm,180 degree ambiguity in PA,furlan,0.373,,275.4,,0.36,,2021-10-20,107260
47425697,364.01,22:49:01.48,-24:57:33.46,PC,2,5,5,5,4,2,4,10.4913,9.967,9.757,9.686,562,562 (54) nm,180 degree ambiguity in PA,furlan,0.377,,95.2,,0.31,,2019-10-13,17176
47425697,364.01,22:49:01.48,-24:57:33.46,PC,2,5,5,5,4,2,4,10.4913,9.967,9.757,9.686,832,832 (40) nm,180 degree ambiguity in PA,furlan,0.377,,95.8,,0.39,,2019-10-13,17176
120896927,402.01,02:27:28.29,-27:38:10.02,CP,4,5,5,5,4,4,4,8.3157,7.553,7.215,7.044,I,879 (289) nm,Ziegler et al. (2020),ziegler,1.4388,,233.4,,5.2,,2019-07-16,16075
120896927,402.01,02:27:28.29,-27:38:10.02,CP,4,5,5,5,4,4,4,8.3157,7.553,7.215,7.044,832,832 (40) nm,uncertain fit,furlan,1.402,,234.2,,9.33,,2019-10-15,17245
120896927,402.01,02:27:28.29,-27:38:10.02,CP,4,5,5,5,4,4,4,8.3157,7.553,7.215,7.044,Kcont,,Zhang et al. (2025b),jzhang,1.489,0.005,232.42,0.5,3.8,0.1,2023-07-27,460674
120896927,402.01,02:27:28.29,-27:38:10.02,CP,4,5,5,5,4,4,4,8.3157,7.553,7.215,7.044,Kcont,,Zhang et al. (2025b),jzhang,1.466,0.005,233.1,0.5,3.6,0.1,2021-10-26,460674
120896927,402.01,02:27:28.29,-27:38:10.02,CP,4,5,5,5,4,4,4,8.3157,7.553,7.215,7.044,Kcont,,Zhang et al. (2025b),jzhang,1.471,0.005,232.85,0.5,3.8,0.1,2022-02-09,460674
120896927,402.02,02:27:28.29,-27:38:10.02,CP,1,5,5,1,4,4,4,8.3157,7.553,7.215,7.044,I,879 (289) nm,Ziegler et al. (2020),ziegler,1.4388,,233.4,,5.2,,2019-07-16,16075
120896927,402.02,02:27:28.29,-27:38:10.02,CP,1,5,5,1,4,4,4,8.3157,7.553,7.215,7.044,832,832 (40) nm,uncertain fit,furlan,1.402,,234.2,,9.33,,2019-10-15,17245
120896927,402.02,02:27:28.29,-27:38:10.02,CP,1,5,5,1,4,4,4,8.3157,7.553,7.215,7.044,Kcont,,Zhang et al. (2025b),jzhang,1.489,0.005,232.42,0.5,3.8,0.1,2023-07-27,460674
120896927,402.02,02:27:28.29,-27:38:10.02,CP,1,5,5,1,4,4,4,8.3157,7.553,7.215,7.044,Kcont,,Zhang et al. (2025b),jzhang,1.466,0.005,233.1,0.5,3.6,0.1,2021-10-26,460674
120896927,402.02,02:27:28.29,-27:38:10.02,CP,1,5,5,1,4,4,4,8.3157,7.553,7.215,7.044,Kcont,,Zhang et al. (2025b),jzhang,1.471,0.005,232.85,0.5,3.8,0.1,2022-02-09,460674
98796344,455.01,03:01:50.99,-16:35:40.19,CP,4,5,5,4,4,4,4,8.84294,7.294,6.774,6.496,I,879 (289) nm,Ziegler et al. (2020),ziegler,1.0333,,317.5,,0.7,,2019-08-12,16113
98796344,455.01,03:01:50.99,-16:35:40.19,CP,4,5,5,4,4,4,4,8.84294,7.294,6.774,6.496,562,562 (54) nm,180 degree ambiguity in PA,furlan,1.265,,135.6,,1.38,,2021-09-17,101427
98796344,455.01,03:01:50.99,-16:35:40.19,CP,4,5,5,4,4,4,4,8.84294,7.294,6.774,6.496,832,832 (40) nm,180 degree ambiguity in PA,furlan,1.259,,137.2,,0.92,,2021-09-17,101427
89256802,457.01,03:54:54.09,-26:25:24.28,PC,2,4,4,2,3,4,4,13.741,11.901,11.261,10.98,832,832 (40) nm,180 degree ambiguity in PA,furlan,1.056,,44.8,,1.06,,2020-01-09,102189
89256802,457.01,03:54:54.09,-26:25:24.28,PC,2,4,4,2,3,4,4,13.741,11.901,11.261,10.98,832,832 (40) nm,180 degree ambiguity in PA,furlan,1.059,,44.7,,0.71,,2020-01-14,17930
89256802,457.01,03:54:54.09,-26:25:24.28,PC,2,4,4,2,3,4,4,13.741,11.901,11.261,10.98,832,832 (40) nm,,furlan,1.039,,222.9,,0.67,,2019-10-14,17212
420049884,462.01,02:25:06.35,01:19:24.78,PC,1,4,1,4,4,4,4,10.6573,10.023,9.699,9.629,I,879 (289) nm,Ziegler et al. (2020),ziegler,0.167,,196.1,,0.3,,2019-07-16,16074
420049884,462.01,02:25:06.35,01:19:24.78,PC,1,4,1,4,4,4,4,10.6573,10.023,9.699,9.629,Brgamma,,Palomar AO (PI: ciardi),ciardi,0.17,0.001,197.1,1.19,0.238,0.009,2021-09-20,100043
420049884,462.01,02:25:06.35,01:19:24.78,PC,1,4,1,4,4,4,4,10.6573,10.023,9.699,9.629,Hcont,,Palomar AO (PI: ciardi),ciardi,0.163,0.001,197.88,1.24,0.238,0.009,2021-09-20,100043
420049884,462.01,02:25:06.35,01:19:24.78,PC,1,4,1,4,4,4,4,10.6573,10.023,9.699,9.629,562,562 (44) nm,NESSI@WIYN; 180 degree ambiguity in PA,everett,0.167,,196.956,,0.38,,2021-11-23,417249
420049884,462.01,02:25:06.35,01:19:24.78,PC,1,4,1,4,4,4,4,10.6573,10.023,9.699,9.629,832,832 (40) nm,NESSI@WIYN; 180 degree ambiguity in PA,everett,0.163,,196.25,,0.02,,2021-11-23,417249
420049884,462.01,02:25:06.35,01:19:24.78,PC,1,4,1,4,4,4,4,10.6573,10.023,9.699,9.629,562,562 (44) nm,NESSI@WIYN; 180 degree ambiguity in PA,everett,0.167,,17.146,,0.34,,2019-10-10,417495
420049884,462.01,02:25:06.35,01:19:24.78,PC,1,4,1,4,4,4,4,10.6573,10.023,9.699,9.629,832,832 (40) nm,NESSI@WIYN; 180 degree ambiguity in PA,everett,0.169,,16.366,,0.54,,2019-10-10,417495
455096220,489.01,08:13:00.17,04:47:13.3,KP,5,5,5,5,5,5,5,11.8997,11.358,11.072,11.03,I,879 (289) nm,,ziegler,0.9428,,139.6,,4.7,,2020-02-10,16697
17746821,492.01,07:52:15.23,12:08:21.65,KP,5,5,5,5,5,5,5,11.3155,10.816,10.545,10.5,832,832 (40) nm,uncertain fit,furlan,0.665,,321.1,,3.89,,2020-12-05,93623
425206121,508.01,07:26:02.29,07:36:56.79,KP,5,5,5,5,5,5,5,9.654,9.343,9.237001,9.196,I,879 (289) nm,,ziegler,0.6466,,29.3,,3,,2019-12-12,16169
425206121,508.01,07:26:02.29,07:36:56.79,KP,5,5,5,5,5,5,5,9.654,9.343,9.237001,9.196,562,562 (44) nm,,kraus,0.637,,29.889,,3.74,,2025-12-09,460858
425206121,508.01,07:26:02.29,07:36:56.79,KP,5,5,5,5,5,5,5,9.654,9.343,9.237001,9.196,832,832 (40) nm,,kraus,0.641,,29.486,,2.97,,2025-12-09,460858
405454160,563.01,09:32:58.36,-17:20:36.51,PC,1,4,1,3,4,4,4,10.4397,9.796,9.414,9.344,I,879 (289) nm,Ziegler et al. (2020),ziegler,0.3841,,33.4,,0.8,,2019-05-19,16044
1003831,564.01,08:41:10.84,-16:02:10.78,CP,4,5,5,4,4,4,4,10.6701,10.044,9.71,9.604,832,832 (40) nm,,furlan,0.637,,73.9,,4.95,,2020-02-18,18266
79292541,642.01,06:56:13.39,-20:03:09,PC,3,4,3,3,3,4,4,9.4247,9.147,9.166,9.073,I,879 (289) nm,Ziegler et al. (2020),ziegler,0.9513,,238,,2.6,,2019-05-19,16019
22221375,652.01,09:56:29.64,-24:05:57.07,CP,1,5,5,1,4,4,4,7.3635,6.839,6.577,6.463,562,562 (54) nm,180 degree ambiguity in PA, uncertain fit,furlan,0.023,,142.6,,2.21,,2020-03-15,103562
22221375,652.01,09:56:29.64,-24:05:57.07,CP,1,5,5,1,4,4,4,7.3635,6.839,6.577,6.463,832,832 (40) nm,180 degree ambiguity in PA, uncertain fit,furlan,0.024,,155,,2.16,,2020-03-15,103562
219187649,676.01,11:24:49.43,-18:37:02.2,PC,3,5,5,3,4,4,4,13.4629,12.629,12.319,12.133,Brgamma,,,ciardi,1.5,0.00141,260,,1.2022,0.01428,2019-06-10,4057
219187649,676.01,11:24:49.43,-18:37:02.2,PC,3,5,5,3,4,4,4,13.4629,12.629,12.319,12.133,Kp,,,ciardi,1.497,0.00141,260,,1.1824,0.00837,2019-05-12,4289
