# This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Tue Dec 16 12:44:13 2025
# Search parameters: Dec min = -50.; TFOPWG Disposition = CP/KP/PC; Stellar companion separation max = 1.5


TIC ID,TOI,RA,Dec,TFOPWG Disposition,Teff (TOI),log(g) (TOI),Stellar Radius (TOI),TESS mag,J mag,H mag,K mag,Stellar Companion Separation
102030574,305.01,01:03:22.73,-44:42:20.97,PC,5852,4.03,1.65,12.3294,11.704,11.42,11.353,0.039
102030574,305.01,01:03:22.73,-44:42:20.97,PC,5852,4.03,1.65,12.3294,11.704,11.42,11.353,0.033
228507250,309.01,23:52:09.5,-15:48:03.78,PC,5329,,,12.4154,11.687,11.295,11.219,0.329
228507250,309.01,23:52:09.5,-15:48:03.78,PC,5329,,,12.4154,11.687,11.295,11.219,0.328
228507250,309.01,23:52:09.5,-15:48:03.78,PC,5329,,,12.4154,11.687,11.295,11.219,0.3266
228507250,309.01,23:52:09.5,-15:48:03.78,PC,5329,,,12.4154,11.687,11.295,11.219,0.322
228507250,309.01,23:52:09.5,-15:48:03.78,PC,5329,,,12.4154,11.687,11.295,11.219,0.319
66413476,325.01,00:55:30.5,-33:30:44.3,PC,4391,4.36,0.9,12.004,10.919,10.355,10.211,0.588
66413476,325.01,00:55:30.5,-33:30:44.3,PC,4391,4.36,0.9,12.004,10.919,10.355,10.211,0.5815
80439101,340.01,00:46:59.36,-44:22:11.82,PC,5829,,,12.6435,12.012,11.72,11.674,0.237
118327533,346.01,00:41:22.68,-37:20:34.87,PC,6177,4.25,1.35,12.7291,12.216,11.867,11.84,1.4329
70785910,348.01,00:06:20.06,-30:20:11.01,PC,5879,4.11,1.512099981308,12.2494,11.597,11.32,11.251,1.3959
47425697,364.01,22:49:01.48,-24:57:33.46,PC,6219.7,,1.33,10.4913,9.967,9.757,9.686,0.377
47425697,364.01,22:49:01.48,-24:57:33.46,PC,6219.7,,1.33,10.4913,9.967,9.757,9.686,0.377
47425697,364.01,22:49:01.48,-24:57:33.46,PC,6219.7,,1.33,10.4913,9.967,9.757,9.686,0.373
47425697,364.01,22:49:01.48,-24:57:33.46,PC,6219.7,,1.33,10.4913,9.967,9.757,9.686,0.372
47425697,364.01,22:49:01.48,-24:57:33.46,PC,6219.7,,1.33,10.4913,9.967,9.757,9.686,0.383
47425697,364.01,22:49:01.48,-24:57:33.46,PC,6219.7,,1.33,10.4913,9.967,9.757,9.686,0.375
47425697,364.01,22:49:01.48,-24:57:33.46,PC,6219.7,,1.33,10.4913,9.967,9.757,9.686,0.372
47425697,364.01,22:49:01.48,-24:57:33.46,PC,6219.7,,1.33,10.4913,9.967,9.757,9.686,0.369
47425697,364.01,22:49:01.48,-24:57:33.46,PC,6219.7,,1.33,10.4913,9.967,9.757,9.686,0.3739
175482273,369.01,23:24:55.06,-38:09:38.85,PC,,,,9.1692,8.479,8.295,8.191,0.687
175482273,369.01,23:24:55.06,-38:09:38.85,PC,,,,9.1692,8.479,8.295,8.191,0.685
175482273,369.01,23:24:55.06,-38:09:38.85,PC,,,,9.1692,8.479,8.295,8.191,0.6949
100014359,380.01,01:33:07.34,-47:52:55.5,PC,5227,,1,13.5029,12.709,12.244,12.141,0.184
120896927,402.01,02:27:28.29,-27:38:10.02,CP,5175.2,4.37657,0.84184199571609,8.3157,7.553,7.215,7.044,1.471
120896927,402.01,02:27:28.29,-27:38:10.02,CP,5175.2,4.37657,0.84184199571609,8.3157,7.553,7.215,7.044,1.466
120896927,402.01,02:27:28.29,-27:38:10.02,CP,5175.2,4.37657,0.84184199571609,8.3157,7.553,7.215,7.044,1.489
120896927,402.01,02:27:28.29,-27:38:10.02,CP,5175.2,4.37657,0.84184199571609,8.3157,7.553,7.215,7.044,1.402
120896927,402.01,02:27:28.29,-27:38:10.02,CP,5175.2,4.37657,0.84184199571609,8.3157,7.553,7.215,7.044,1.4388
120896927,402.02,02:27:28.29,-27:38:10.02,CP,5175.2,4.37657,0.84184199571609,8.3157,7.553,7.215,7.044,1.471
120896927,402.02,02:27:28.29,-27:38:10.02,CP,5175.2,4.37657,0.84184199571609,8.3157,7.553,7.215,7.044,1.466
120896927,402.02,02:27:28.29,-27:38:10.02,CP,5175.2,4.37657,0.84184199571609,8.3157,7.553,7.215,7.044,1.489
120896927,402.02,02:27:28.29,-27:38:10.02,CP,5175.2,4.37657,0.84184199571609,8.3157,7.553,7.215,7.044,1.402
120896927,402.02,02:27:28.29,-27:38:10.02,CP,5175.2,4.37657,0.84184199571609,8.3157,7.553,7.215,7.044,1.4388
98796344,455.01,03:01:50.99,-16:35:40.19,CP,3562,4.97389,0.27595299482346,8.84294,7.294,6.774,6.496,1.259
98796344,455.01,03:01:50.99,-16:35:40.19,CP,3562,4.97389,0.27595299482346,8.84294,7.294,6.774,6.496,1.265
98796344,455.01,03:01:50.99,-16:35:40.19,CP,3562,4.97389,0.27595299482346,8.84294,7.294,6.774,6.496,1.0333
89256802,457.01,03:54:54.09,-26:25:24.28,PC,3054,5.08962,0.51288098096848,13.741,11.901,11.261,10.98,1.039
89256802,457.01,03:54:54.09,-26:25:24.28,PC,3054,5.08962,0.51288098096848,13.741,11.901,11.261,10.98,1.059
89256802,457.01,03:54:54.09,-26:25:24.28,PC,3054,5.08962,0.51288098096848,13.741,11.901,11.261,10.98,1.056
420049884,462.01,02:25:06.35,01:19:24.78,PC,5205,4.45924,1.3005499839783,10.6573,10.023,9.699,9.629,0.169
420049884,462.01,02:25:06.35,01:19:24.78,PC,5205,4.45924,1.3005499839783,10.6573,10.023,9.699,9.629,0.167
420049884,462.01,02:25:06.35,01:19:24.78,PC,5205,4.45924,1.3005499839783,10.6573,10.023,9.699,9.629,0.163
420049884,462.01,02:25:06.35,01:19:24.78,PC,5205,4.45924,1.3005499839783,10.6573,10.023,9.699,9.629,0.167
420049884,462.01,02:25:06.35,01:19:24.78,PC,5205,4.45924,1.3005499839783,10.6573,10.023,9.699,9.629,0.163
420049884,462.01,02:25:06.35,01:19:24.78,PC,5205,4.45924,1.3005499839783,10.6573,10.023,9.699,9.629,0.17
420049884,462.01,02:25:06.35,01:19:24.78,PC,5205,4.45924,1.3005499839783,10.6573,10.023,9.699,9.629,0.167
156987351,476.01,06:38:19.54,-47:36:49.92,PC,7691,4.11671,2.05,8.8742,8.534,8.432,8.387,0.6518
156987351,476.01,06:38:19.54,-47:36:49.92,PC,7691,4.11671,2.05,8.8742,8.534,8.432,8.387,0.6568
455096220,489.01,08:13:00.17,04:47:13.3,KP,6096,4.21513,1.3567199707031,11.8997,11.358,11.072,11.03,0.9428
17746821,492.01,07:52:15.23,12:08:21.65,KP,6280,4.08133,1.7295800447464,11.3155,10.816,10.545,10.5,0.665
425206121,508.01,07:26:02.29,07:36:56.79,KP,7346,4.14208,1.67,9.654,9.343,9.237001,9.196,0.6466
405454160,563.01,09:32:58.36,-17:20:36.51,PC,5383,4.42352,0.98302501440048,10.4397,9.796,9.414,9.344,0.3841
1003831,564.01,08:41:10.84,-16:02:10.78,CP,5752,4.47122,1.1219600439072,10.6701,10.044,9.71,9.604,0.637
141363913,601.01,08:37:50.96,-43:02:31.26,PC,6221,3.53,3.1,9.9223,9.287,8.971,8.871,0.168
141363913,601.01,08:37:50.96,-43:02:31.26,PC,6221,3.53,3.1,9.9223,9.287,8.971,8.871,0.169
141363913,601.01,08:37:50.96,-43:02:31.26,PC,6221,3.53,3.1,9.9223,9.287,8.971,8.871,0.1512
181304295,605.01,08:43:40.7,-36:39:25.19,PC,8265,,2.12,10.4349,9.962,9.909,9.856,0.656
181304295,605.01,08:43:40.7,-36:39:25.19,PC,8265,,2.12,10.4349,9.962,9.909,9.856,0.66
181304295,605.01,08:43:40.7,-36:39:25.19,PC,8265,,2.12,10.4349,9.962,9.909,9.856,0.6548
284738182,612.01,07:23:31.64,-37:50:07.68,PC,7126,4.29,1.5,10.1939,9.812,9.591,9.503,0.1728
147977348,640.01,06:38:56.3,-36:38:46.07,CP,6442,3.91,2.09,10.0367,9.519,9.327,9.243,0.2498
79292541,642.01,06:56:13.39,-20:03:09,PC,8550,3.93,2.63,9.4247,9.147,9.166,9.073,0.9513
22221375,652.01,09:56:29.64,-24:05:57.07,CP,5903,4.44653,1.03,7.3635,6.839,6.577,6.463,0.024
22221375,652.01,09:56:29.64,-24:05:57.07,CP,5903,4.44653,1.03,7.3635,6.839,6.577,6.463,0.023
219187649,676.01,11:24:49.43,-18:37:02.2,PC,5430,4.41381,1.2320599555969,13.4629,12.629,12.319,12.133,1.264
219187649,676.01,11:24:49.43,-18:37:02.2,PC,5430,4.41381,1.2320599555969,13.4629,12.629,12.319,12.133,1.498
219187649,676.01,11:24:49.43,-18:37:02.2,PC,5430,4.41381,1.2320599555969,13.4629,12.629,12.319,12.133,1.497
219187649,676.01,11:24:49.43,-18:37:02.2,PC,5430,4.41381,1.2320599555969,13.4629,12.629,12.319,12.133,1.5
219189765,737.01,11:24:03.55,-19:33:25.05,CP,3394,4.9186,0.61521899700165,14.7599,13.25,12.602,12.361,0.798
219189765,737.01,11:24:03.55,-19:33:25.05,CP,3394,4.9186,0.61521899700165,14.7599,13.25,12.602,12.361,0.842
219189765,737.01,11:24:03.55,-19:33:25.05,CP,3394,4.9186,0.61521899700165,14.7599,13.25,12.602,12.361,0.845
413376180,781.01,11:46:57.32,-22:33:46.84,KP,5227,4.47443,0.93147099018097,12.7492,11.906,11.475,11.386,1.2562
138727432,853.01,02:11:39.43,-37:53:34.76,PC,5937,4.19,1.38,10.7598,10.245,9.939,9.875,0.043
298372701,906.01,15:59:18.12,-49:21:59.99,PC,5954.53,3.68582,1.42,8.5097,7.971,7.82,7.712,1.245832872
298372701,906.01,15:59:18.12,-49:21:59.99,PC,5954.53,3.68582,1.42,8.5097,7.971,7.82,7.712,1.215
298372701,906.01,15:59:18.12,-49:21:59.99,PC,5954.53,3.68582,1.42,8.5097,7.971,7.82,7.712,1.215
298372701,906.01,15:59:18.12,-49:21:59.99,PC,5954.53,3.68582,1.42,8.5097,7.971,7.82,7.712,1.246
176796997,926.01,03:13:30.89,-32:00:20.05,PC,5658.4,,2.61,10.5926,10.009,9.7,9.632,0.1879
176796997,926.01,03:13:30.89,-32:00:20.05,PC,5658.4,,2.61,10.5926,10.009,9.7,9.632,0.192
176796997,926.01,03:13:30.89,-32:00:20.05,PC,5658.4,,2.61,10.5926,10.009,9.7,9.632,0.192
176796997,926.01,03:13:30.89,-32:00:20.05,PC,5658.4,,2.61,10.5926,10.009,9.7,9.632,0.1903
100921768,930.01,03:37:14.09,-44:28:19.22,PC,6504,3.32,4.18,8.1605,7.691,7.546,7.426,0.695
100921768,930.01,03:37:14.09,-44:28:19.22,PC,6504,3.32,4.18,8.1605,7.691,7.546,7.426,0.698
100921768,930.01,03:37:14.09,-44:28:19.22,PC,6504,3.32,4.18,8.1605,7.691,7.546,7.426,0.692
206474443,931.01,03:49:20.85,-47:55:05.48,PC,5928,,2.31,11.5458,10.973,10.666,10.653,0.1107
206474443,931.01,03:49:20.85,-47:55:05.48,PC,5928,,2.31,11.5458,10.973,10.666,10.653,0.11
206474443,931.01,03:49:20.85,-47:55:05.48,PC,5928,,2.31,11.5458,10.973,10.666,10.653,0.109
206474443,931.01,03:49:20.85,-47:55:05.48,PC,5928,,2.31,11.5458,10.973,10.666,10.653,0.1118
319312479,952.01,04:07:07.07,-13:46:00.69,PC,7110,3.9,2.33,10.0716,9.688,9.532,9.441,1.17
319312479,952.01,04:07:07.07,-13:46:00.69,PC,7110,3.9,2.33,10.0716,9.688,9.532,9.441,0.158
319312479,952.01,04:07:07.07,-13:46:00.69,PC,7110,3.9,2.33,10.0716,9.688,9.532,9.441,1.162
319312479,952.01,04:07:07.07,-13:46:00.69,PC,7110,3.9,2.33,10.0716,9.688,9.532,9.441,1.169
319312479,952.01,04:07:07.07,-13:46:00.69,PC,7110,3.9,2.33,10.0716,9.688,9.532,9.441,1.17
319312479,952.01,04:07:07.07,-13:46:00.69,PC,7110,3.9,2.33,10.0716,9.688,9.532,9.441,1.193
319312479,952.01,04:07:07.07,-13:46:00.69,PC,7110,3.9,2.33,10.0716,9.688,9.532,9.441,0.16
319312479,952.01,04:07:07.07,-13:46:00.69,PC,7110,3.9,2.33,10.0716,9.688,9.532,9.441,0.1176
319312479,952.01,04:07:07.07,-13:46:00.69,PC,7110,3.9,2.33,10.0716,9.688,9.532,9.441,1.1682
107782586,1009.01,07:26:40.28,-24:27:43.6,PC,8868.7,,,8.4331,8.552,8.578,8.64,0.26
107782586,1009.01,07:26:40.28,-24:27:43.6,PC,8868.7,,,8.4331,8.552,8.578,8.64,0.26
107782586,1009.01,07:26:40.28,-24:27:43.6,PC,8868.7,,,8.4331,8.552,8.578,8.64,0.2602
146589986,1032.01,10:36:53.16,-42:32:29.9,PC,10395,4.13,2.3383700847626,9.7611,9.372,9.395001,9.366,1.218
146589986,1032.01,10:36:53.16,-42:32:29.9,PC,10395,4.13,2.3383700847626,9.7611,9.372,9.395001,9.366,1.121
146589986,1032.01,10:36:53.16,-42:32:29.9,PC,10395,4.13,2.3383700847626,9.7611,9.372,9.395001,9.366,1.3517
16288184,1049.01,16:55:04.52,-28:42:38.1,KP,6599,4.21017,1.2714600563049,11.0657,10.508,10.268,10.217,1.2782
253728991,1081.01,18:48:33.7,-40:06:42.37,PC,6027,4.29978,1.23975,11.5247,10.915,10.632,10.556,0.2932
198213332,1131.01,16:33:44.05,61:43:06,PC,5579,3.67,2.3980300426483,9.2872,8.631,8.23,8.17,0.1186
198213332,1131.01,16:33:44.05,61:43:06,PC,5579,3.67,2.3980300426483,9.2872,8.631,8.23,8.17,0.1183
198213332,1131.01,16:33:44.05,61:43:06,PC,5579,3.67,2.3980300426483,9.2872,8.631,8.23,8.17,0.1206
198213332,1131.01,16:33:44.05,61:43:06,PC,5579,3.67,2.3980300426483,9.2872,8.631,8.23,8.17,0.106
198213332,1131.01,16:33:44.05,61:43:06,PC,5579,3.67,2.3980300426483,9.2872,8.631,8.23,8.17,0.094
198213332,1131.01,16:33:44.05,61:43:06,PC,5579,3.67,2.3980300426483,9.2872,8.631,8.23,8.17,0.121
154872375,1135.01,12:53:35.13,85:07:46.18,CP,5962.7,4.38,1.15,9.02855,8.458,8.265,8.192,0.962
154872375,1135.01,12:53:35.13,85:07:46.18,CP,5962.7,4.38,1.15,9.02855,8.458,8.265,8.192,0.031
154872375,1135.01,12:53:35.13,85:07:46.18,CP,5962.7,4.38,1.15,9.02855,8.458,8.265,8.192,0.973
154872375,1135.01,12:53:35.13,85:07:46.18,CP,5962.7,4.38,1.15,9.02855,8.458,8.265,8.192,0.95
158324245,1161.01,19:07:53.13,46:52:05.69,KP,7986.1,,,10.2306,9.466,9.455,9.425,1.2
158324245,1161.01,19:07:53.13,46:52:05.69,KP,7986.1,,,10.2306,9.466,9.455,9.425,1.156
158324245,1161.01,19:07:53.13,46:52:05.69,KP,7986.1,,,10.2306,9.466,9.455,9.425,1.165
158324245,1161.01,19:07:53.13,46:52:05.69,KP,7986.1,,,10.2306,9.466,9.455,9.425,1.144
158324245,1161.01,19:07:53.13,46:52:05.69,KP,7986.1,,,10.2306,9.466,9.455,9.425,1.144
158324245,1161.01,19:07:53.13,46:52:05.69,KP,7986.1,,,10.2306,9.466,9.455,9.425,1.144
158324245,1161.01,19:07:53.13,46:52:05.69,KP,7986.1,,,10.2306,9.466,9.455,9.425,1.144
158324245,1161.01,19:07:53.13,46:52:05.69,KP,7986.1,,,10.2306,9.466,9.455,9.425,1.144
158324245,1161.01,19:07:53.13,46:52:05.69,KP,7986.1,,,10.2306,9.466,9.455,9.425,1.144
13419950,1162.01,20:21:09.44,41:27:44.52,PC,8730,,,9.65306,9.155,9.019,9.005,1.5
13419950,1162.01,20:21:09.44,41:27:44.52,PC,8730,,,9.65306,9.155,9.019,9.005,1.477
13419950,1162.01,20:21:09.44,41:27:44.52,PC,8730,,,9.65306,9.155,9.019,9.005,1.479
13419950,1162.01,20:21:09.44,41:27:44.52,PC,8730,,,9.65306,9.155,9.019,9.005,1.463
13419950,1162.01,20:21:09.44,41:27:44.52,PC,8730,,,9.65306,9.155,9.019,9.005,1.468
13419950,1162.01,20:21:09.44,41:27:44.52,PC,8730,,,9.65306,9.155,9.019,9.005,1.472
13419950,1162.01,20:21:09.44,41:27:44.52,PC,8730,,,9.65306,9.155,9.019,9.005,1.474
302518439,1169.01,08:56:28.81,72:31:59.79,PC,6134.3,,1.24,10.6405,9.611,9.327,9.316,1.05
158002130,1180.01,14:18:13.39,82:11:37.55,CP,4738.1,4.59,0.73,10.112,9.237001,8.716,8.594,0.033
372757221,1187.01,10:51:34.36,81:19:19.83,PC,6389,4.26,1.4,9.9002,9.373,9.168,9.084,0.162
112026224,1189.01,19:28:53.57,24:12:04.28,PC,5286.9,,,9.8744,8.799,8.438,8.355,0.961
112026224,1189.01,19:28:53.57,24:12:04.28,PC,5286.9,,,9.8744,8.799,8.438,8.355,0.98
112026224,1189.01,19:28:53.57,24:12:04.28,PC,5286.9,,,9.8744,8.799,8.438,8.355,0.979
69068526,1196.01,19:26:49.85,17:48:31.45,PC,6689,3.96,2.06,10.4318,9.734,9.551,9.557,0.2203
248092710,1217.01,12:53:02.53,-44:05:57.7,PC,6354,4.24472,3.4868700504303,9.6517,9.118,8.888,8.821,1.032
248092710,1217.01,12:53:02.53,-44:05:57.7,PC,6354,4.24472,3.4868700504303,9.6517,9.118,8.888,8.821,1.021
248092710,1217.01,12:53:02.53,-44:05:57.7,PC,6354,4.24472,3.4868700504303,9.6517,9.118,8.888,8.821,1.0489
159107668,1241.01,19:18:57.54,44:38:50.45,PC,5826,3.7213,2.3387200832367,11.1634,10.542,10.257,10.213,0.029
159107668,1241.01,19:18:57.54,44:38:50.45,PC,5826,3.7213,2.3387200832367,11.1634,10.542,10.257,10.213,0.158
159107668,1241.01,19:18:57.54,44:38:50.45,PC,5826,3.7213,2.3387200832367,11.1634,10.542,10.257,10.213,0.041
159107668,1241.01,19:18:57.54,44:38:50.45,PC,5826,3.7213,2.3387200832367,11.1634,10.542,10.257,10.213,0.165
159107668,1241.01,19:18:57.54,44:38:50.45,PC,5826,3.7213,2.3387200832367,11.1634,10.542,10.257,10.213,0.149
159107668,1241.01,19:18:57.54,44:38:50.45,PC,5826,3.7213,2.3387200832367,11.1634,10.542,10.257,10.213,0.033
159107668,1241.01,19:18:57.54,44:38:50.45,PC,5826,3.7213,2.3387200832367,11.1634,10.542,10.257,10.213,0.036
159107668,1241.01,19:18:57.54,44:38:50.45,PC,5826,3.7213,2.3387200832367,11.1634,10.542,10.257,10.213,0.151
159107668,1241.01,19:18:57.54,44:38:50.45,PC,5826,3.7213,2.3387200832367,11.1634,10.542,10.257,10.213,0.155
159107668,1241.01,19:18:57.54,44:38:50.45,PC,5826,3.7213,2.3387200832367,11.1634,10.542,10.257,10.213,0.141
159107668,1241.01,19:18:57.54,44:38:50.45,PC,5826,3.7213,2.3387200832367,11.1634,10.542,10.257,10.213,0.141
159107668,1241.01,19:18:57.54,44:38:50.45,PC,5826,3.7213,2.3387200832367,11.1634,10.542,10.257,10.213,0.141
159107668,1241.01,19:18:57.54,44:38:50.45,PC,5826,3.7213,2.3387200832367,11.1634,10.542,10.257,10.213,0.029
158561566,1267.01,19:10:50.12,47:19:58.98,KP,6378,4.438,2.0006799697876,11.636,11.202,11.068,10.988,0.289
158561566,1267.01,19:10:50.12,47:19:58.98,KP,6378,4.438,2.0006799697876,11.636,11.202,11.068,10.988,0.288
158561566,1267.01,19:10:50.12,47:19:58.98,KP,6378,4.438,2.0006799697876,11.636,11.202,11.068,10.988,0.287
158561566,1267.01,19:10:50.12,47:19:58.98,KP,6378,4.438,2.0006799697876,11.636,11.202,11.068,10.988,0.287
158561566,1267.01,19:10:50.12,47:19:58.98,KP,6378,4.438,2.0006799697876,11.636,11.202,11.068,10.988,0.287
158561566,1267.01,19:10:50.12,47:19:58.98,KP,6378,4.438,2.0006799697876,11.636,11.202,11.068,10.988,0.287
158561566,1267.01,19:10:50.12,47:19:58.98,KP,6378,4.438,2.0006799697876,11.636,11.202,11.068,10.988,0.287
158561566,1267.01,19:10:50.12,47:19:58.98,KP,6378,4.438,2.0006799697876,11.636,11.202,11.068,10.988,0.287
230017324,1280.01,19:25:51.68,61:46:34.15,PC,4665,4.56182,0.74600297212601,10.6355,9.682,9.181,9.107,0.993
352764091,1287.01,20:34:59.43,63:28:29.78,PC,5891,4.30161,1.2103699445725,8.593,8.041,7.713,7.659,0.176
352764091,1287.01,20:34:59.43,63:28:29.78,PC,5891,4.30161,1.2103699445725,8.593,8.041,7.713,7.659,0.118
352764091,1287.01,20:34:59.43,63:28:29.78,PC,5891,4.30161,1.2103699445725,8.593,8.041,7.713,7.659,0.143
352764091,1287.01,20:34:59.43,63:28:29.78,PC,5891,4.30161,1.2103699445725,8.593,8.041,7.713,7.659,0.135
352764091,1287.01,20:34:59.43,63:28:29.78,PC,5891,4.30161,1.2103699445725,8.593,8.041,7.713,7.659,0.131
365733349,1288.01,20:52:40.09,65:36:31.62,CP,6180,4.57956,0.92,9.93119,9.193,8.842,8.779,1.255
365733349,1288.01,20:52:40.09,65:36:31.62,CP,6180,4.57956,0.92,9.93119,9.193,8.842,8.779,1.306
365733349,1288.01,20:52:40.09,65:36:31.62,CP,6180,4.57956,0.92,9.93119,9.193,8.842,8.779,1.173
365733349,1288.01,20:52:40.09,65:36:31.62,CP,6180,4.57956,0.92,9.93119,9.193,8.842,8.779,1.282
198186769,1291.01,16:23:16.32,62:55:30.44,PC,6229,4,1.81,10.8722,10.345,10.114,10.083,0.474
202504234,1293.01,15:21:14.42,63:33:55.03,PC,5923,4.38,1.11,10.8605,10.282,10.004,9.929,0.965
202504234,1293.01,15:21:14.42,63:33:55.03,PC,5923,4.38,1.11,10.8605,10.282,10.004,9.929,0.899
202504234,1293.01,15:21:14.42,63:33:55.03,PC,5923,4.38,1.11,10.8605,10.282,10.004,9.929,0.904
202504234,1293.01,15:21:14.42,63:33:55.03,PC,5923,4.38,1.11,10.8605,10.282,10.004,9.929,0.907
202504234,1293.01,15:21:14.42,63:33:55.03,PC,5923,4.38,1.11,10.8605,10.282,10.004,9.929,0.869
167092385,1318.01,21:14:53.91,38:05:39.24,PC,,,,10.151,9.797,9.635,9.608,0.282
167092385,1318.01,21:14:53.91,38:05:39.24,PC,,,,10.151,9.797,9.635,9.608,0.282
167092385,1318.01,21:14:53.91,38:05:39.24,PC,,,,10.151,9.797,9.635,9.608,0.287
353038705,1389.01,22:12:31.67,31:21:52.8,PC,5086.8,,,9.957501,9.074,8.667,8.524,0.855
353038705,1389.01,22:12:31.67,31:21:52.8,PC,5086.8,,,9.957501,9.074,8.667,8.524,0.275
353038705,1389.01,22:12:31.67,31:21:52.8,PC,5086.8,,,9.957501,9.074,8.667,8.524,0.857
353038705,1389.01,22:12:31.67,31:21:52.8,PC,5086.8,,,9.957501,9.074,8.667,8.524,0.275
353038705,1389.01,22:12:31.67,31:21:52.8,PC,5086.8,,,9.957501,9.074,8.667,8.524,0.276
353038705,1389.01,22:12:31.67,31:21:52.8,PC,5086.8,,,9.957501,9.074,8.667,8.524,0.876
164173105,1417.01,22:23:18.07,35:02:05.71,CP,7164,4.25661,1.5583100318909,8.51017,8.138,8.043,7.991,0.027
164173105,1417.01,22:23:18.07,35:02:05.71,CP,7164,4.25661,1.5583100318909,8.51017,8.138,8.043,7.991,0.031
